,date_local,time_local,sample_measurement
318,2023-01-01,03:00,0.7
319,2023-01-01,00:00,6.3
320,2023-01-01,01:00,7.0
321,2023-01-01,02:00,1.7
322,2023-01-01,04:00,1.2
323,2023-01-01,05:00,-1.9
324,2023-01-01,06:00,-2.4
325,2023-01-01,07:00,0.2
326,2023-01-01,08:00,1.5
327,2023-01-01,09:00,-0.9
328,2023-01-01,10:00,2.2
329,2023-01-01,11:00,8.0
330,2023-01-01,12:00,6.5
331,2023-01-01,13:00,2.7
332,2023-01-01,14:00,1.7
333,2023-01-01,15:00,1.2
334,2023-01-01,16:00,4.3
335,2023-01-01,17:00,4.6
336,2023-01-01,18:00,4.6
337,2023-01-01,19:00,6.0
338,2023-01-01,20:00,6.0
339,2023-01-01,21:00,10.7
340,2023-01-01,22:00,13.4
341,2023-01-01,23:00,11.2
342,2023-01-02,00:00,6.5
343,2023-01-02,01:00,6.5
344,2023-01-02,02:00,6.3
345,2023-01-02,03:00,5.8
346,2023-01-02,04:00,8.4
347,2023-01-02,05:00,9.2
348,2023-01-02,06:00,8.9
349,2023-01-02,07:00,15.7
350,2023-01-02,08:00,11.9
351,2023-01-02,09:00,10.7
352,2023-01-02,10:00,15.5
353,2023-01-02,11:00,11.9
354,2023-01-02,12:00,21.9
355,2023-01-02,13:00,8.7
356,2023-01-02,14:00,6.0
357,2023-01-02,15:00,3.3
358,2023-01-02,16:00,3.6
359,2023-01-02,17:00,6.3
360,2023-01-02,18:00,4.5
361,2023-01-02,19:00,1.2
362,2023-01-02,20:00,3.7
363,2023-01-02,21:00,5.0
364,2023-01-02,22:00,1.5
365,2023-01-02,23:00,2.5
366,2023-01-03,00:00,7.0
367,2023-01-03,01:00,6.5
368,2023-01-03,02:00,4.5
369,2023-01-03,03:00,2.0
370,2023-01-03,04:00,1.5
371,2023-01-03,05:00,1.0
372,2023-01-03,06:00,-1.1
373,2023-01-03,07:00,-0.4
374,2023-01-03,08:00,2.9
375,2023-01-03,09:00,
376,2023-01-03,10:00,
377,2023-01-03,11:00,
378,2023-01-03,12:00,3.0
379,2023-01-03,13:00,-2.4
380,2023-01-03,14:00,0.7
381,2023-01-03,15:00,-0.2
382,2023-01-03,16:00,0.5
383,2023-01-03,17:00,1.7
384,2023-01-03,18:00,-0.9
385,2023-01-03,19:00,-0.9
386,2023-01-03,20:00,-0.2
387,2023-01-03,21:00,0.0
388,2023-01-03,22:00,1.5
389,2023-01-03,23:00,1.2
390,2023-01-04,00:00,3.2
391,2023-01-04,01:00,9.4
392,2023-01-04,02:00,10.9
393,2023-01-04,03:00,9.4
394,2023-01-04,04:00,6.5
395,2023-01-04,05:00,1.4
396,2023-01-04,06:00,0.0
397,2023-01-04,07:00,2.0
398,2023-01-04,08:00,3.0
399,2023-01-04,09:00,3.0
400,2023-01-04,10:00,6.3
401,2023-01-04,11:00,5.8
402,2023-01-04,12:00,-0.9
403,2023-01-04,13:00,-1.9
404,2023-01-04,14:00,0.0
405,2023-01-04,15:00,0.7
406,2023-01-04,16:00,2.0
407,2023-01-04,17:00,2.7
408,2023-01-04,18:00,5.1
409,2023-01-04,19:00,7.7
410,2023-01-04,20:00,5.0
411,2023-01-04,21:00,3.0
412,2023-01-04,22:00,5.3
413,2023-01-04,23:00,4.8
414,2023-01-05,00:00,2.2
415,2023-01-05,01:00,1.2
416,2023-01-05,02:00,3.8
417,2023-01-05,03:00,2.0
418,2023-01-05,04:00,-0.4
419,2023-01-05,05:00,-1.1
420,2023-01-05,06:00,-2.6
421,2023-01-05,07:00,-0.4
422,2023-01-05,08:00,0.0
423,2023-01-05,09:00,-2.4
424,2023-01-05,10:00,-0.2
425,2023-01-05,11:00,0.2
426,2023-01-05,12:00,-0.2
427,2023-01-05,13:00,2.7
428,2023-01-05,14:00,6.3
429,2023-01-05,15:00,5.5
430,2023-01-05,16:00,1.2
431,2023-01-05,17:00,1.2
432,2023-01-05,18:00,-1.4
433,2023-01-05,19:00,-0.7
434,2023-01-05,20:00,4.3
435,2023-01-05,21:00,5.3
436,2023-01-05,22:00,7.5
437,2023-01-05,23:00,7.7
438,2023-01-06,00:00,6.0
439,2023-01-06,01:00,5.3
440,2023-01-06,02:00,5.8
441,2023-01-06,03:00,6.0
442,2023-01-06,04:00,3.9
443,2023-01-06,05:00,3.9
444,2023-01-06,06:00,7.2
445,2023-01-06,07:00,7.7
446,2023-01-06,08:00,6.2
447,2023-01-06,09:00,9.9
448,2023-01-06,10:00,11.2
449,2023-01-06,11:00,9.4
450,2023-01-06,12:00,10.4
451,2023-01-06,13:00,11.2
452,2023-01-06,14:00,7.2
453,2023-01-06,15:00,2.0
454,2023-01-06,16:00,1.7
455,2023-01-06,17:00,0.2
456,2023-01-06,18:00,-1.1
457,2023-01-06,19:00,3.0
458,2023-01-06,20:00,6.5
459,2023-01-06,21:00,9.9
460,2023-01-06,22:00,8.9
461,2023-01-06,23:00,6.0
462,2023-01-07,00:00,9.9
463,2023-01-07,01:00,10.9
464,2023-01-07,02:00,8.7
465,2023-01-07,03:00,8.2
466,2023-01-07,04:00,7.0
467,2023-01-07,05:00,3.2
468,2023-01-07,06:00,3.6
469,2023-01-07,07:00,5.4
470,2023-01-07,08:00,6.7
471,2023-01-07,09:00,7.7
472,2023-01-07,10:00,7.5
473,2023-01-07,11:00,7.0
474,2023-01-07,12:00,16.7
475,2023-01-07,13:00,5.8
476,2023-01-07,14:00,2.5
477,2023-01-07,15:00,-1.4
478,2023-01-07,16:00,2.0
479,2023-01-07,17:00,6.3
480,2023-01-07,18:00,17.9
481,2023-01-07,19:00,13.1
482,2023-01-07,20:00,19.1
483,2023-01-07,21:00,11.9
484,2023-01-07,22:00,28.5
485,2023-01-07,23:00,20.4
486,2023-01-08,00:00,18.4
487,2023-01-08,01:00,17.2
488,2023-01-08,02:00,23.5
489,2023-01-08,03:00,17.2
490,2023-01-08,04:00,13.5
491,2023-01-08,05:00,12.1
492,2023-01-08,06:00,11.2
493,2023-01-08,07:00,11.9
494,2023-01-08,08:00,15.5
495,2023-01-08,09:00,13.3
496,2023-01-08,10:00,12.2
497,2023-01-08,11:00,12.1
498,2023-01-08,12:00,17.7
499,2023-01-08,13:00,6.3
500,2023-01-08,14:00,4.0
501,2023-01-08,15:00,1.2
502,2023-01-08,16:00,5.3
503,2023-01-08,17:00,8.9
504,2023-01-08,18:00,10.2
505,2023-01-08,19:00,12.6
506,2023-01-08,20:00,17.6
507,2023-01-08,21:00,12.6
508,2023-01-08,22:00,12.9
509,2023-01-08,23:00,19.6
510,2023-01-09,00:00,23.1
511,2023-01-09,01:00,21.9
512,2023-01-09,02:00,16.3
513,2023-01-09,03:00,19.6
514,2023-01-09,04:00,12.6
515,2023-01-09,05:00,12.2
516,2023-01-09,06:00,10.4
517,2023-01-09,07:00,8.2
518,2023-01-09,08:00,6.8
519,2023-01-09,09:00,3.8
520,2023-01-09,10:00,6.0
521,2023-01-09,11:00,9.7
522,2023-01-09,12:00,4.1
523,2023-01-09,13:00,0.5
524,2023-01-09,14:00,6.7
525,2023-01-09,15:00,6.5
526,2023-01-09,16:00,2.0
527,2023-01-09,17:00,4.1
528,2023-01-09,18:00,5.0
529,2023-01-09,19:00,3.8
530,2023-01-09,20:00,1.7
531,2023-01-09,21:00,0.0
532,2023-01-09,22:00,-0.4
533,2023-01-09,23:00,1.2
534,2023-01-10,00:00,1.5
535,2023-01-10,01:00,-0.9
536,2023-01-10,02:00,-3.3
537,2023-01-10,03:00,-1.2
538,2023-01-10,04:00,0.0
539,2023-01-10,05:00,-2.1
540,2023-01-10,06:00,-1.2
541,2023-01-10,07:00,-0.2
542,2023-01-10,08:00,-0.2
543,2023-01-10,09:00,-2.4
544,2023-01-10,10:00,-3.1
545,2023-01-10,11:00,-1.4
546,2023-01-10,12:00,-0.7
547,2023-01-10,13:00,0.7
548,2023-01-10,14:00,1.7
549,2023-01-10,15:00,3.0
550,2023-01-10,16:00,4.5
551,2023-01-10,17:00,2.7
552,2023-01-10,18:00,0.5
553,2023-01-10,19:00,2.9
554,2023-01-10,20:00,7.0
555,2023-01-10,21:00,9.2
556,2023-01-10,22:00,10.4
557,2023-01-10,23:00,10.4
558,2023-01-11,00:00,8.7
559,2023-01-11,01:00,5.7
560,2023-01-11,02:00,5.0
561,2023-01-11,03:00,3.6
562,2023-01-11,04:00,4.2
563,2023-01-11,05:00,4.4
564,2023-01-11,06:00,3.4
565,2023-01-11,07:00,5.6
566,2023-01-11,08:00,7.9
567,2023-01-11,09:00,8.2
568,2023-01-11,10:00,9.1
569,2023-01-11,11:00,11.6
570,2023-01-11,12:00,10.6
571,2023-01-11,13:00,8.4
572,2023-01-11,14:00,8.2
573,2023-01-11,15:00,11.2
574,2023-01-11,16:00,8.7
575,2023-01-11,17:00,4.8
576,2023-01-11,18:00,4.8
577,2023-01-11,19:00,8.2
578,2023-01-11,20:00,11.2
579,2023-01-11,21:00,11.7
580,2023-01-11,22:00,12.2
581,2023-01-11,23:00,12.2
582,2023-01-12,00:00,13.6
583,2023-01-12,01:00,10.2
584,2023-01-12,02:00,7.0
585,2023-01-12,03:00,7.7
586,2023-01-12,04:00,5.0
587,2023-01-12,05:00,5.0
588,2023-01-12,06:00,7.0
589,2023-01-12,07:00,7.0
590,2023-01-12,08:00,7.9
591,2023-01-12,09:00,8.7
592,2023-01-12,10:00,7.5
593,2023-01-12,11:00,9.7
594,2023-01-12,12:00,10.4
595,2023-01-12,13:00,3.4
596,2023-01-12,14:00,-0.4
597,2023-01-12,15:00,0.7
598,2023-01-12,16:00,0.2
599,2023-01-12,17:00,-0.4
600,2023-01-12,18:00,-0.6
601,2023-01-12,19:00,2.0
602,2023-01-12,20:00,2.7
603,2023-01-12,21:00,-3.3
604,2023-01-12,22:00,-3.1
605,2023-01-12,23:00,-0.2
606,2023-01-13,00:00,2.0
607,2023-01-13,01:00,3.4
608,2023-01-13,02:00,2.5
609,2023-01-13,03:00,2.7
610,2023-01-13,04:00,1.5
611,2023-01-13,05:00,1.0
612,2023-01-13,06:00,4.4
613,2023-01-13,07:00,7.7
614,2023-01-13,08:00,7.4
615,2023-01-13,09:00,8.7
616,2023-01-13,10:00,8.2
617,2023-01-13,11:00,6.0
618,2023-01-13,12:00,16.5
619,2023-01-13,13:00,
620,2023-01-13,14:00,
621,2023-01-13,15:00,
622,2023-01-13,16:00,4.1
623,2023-01-13,17:00,7.7
624,2023-01-13,18:00,9.2
625,2023-01-13,19:00,20.1
626,2023-01-13,20:00,16.9
627,2023-01-13,21:00,18.9
628,2023-01-13,22:00,16.3
629,2023-01-13,23:00,22.6
630,2023-01-14,00:00,26.0
631,2023-01-14,01:00,21.6
632,2023-01-14,02:00,21.3
633,2023-01-14,03:00,21.6
634,2023-01-14,04:00,14.3
635,2023-01-14,05:00,14.8
636,2023-01-14,06:00,18.0
637,2023-01-14,07:00,13.6
638,2023-01-14,08:00,15.5
639,2023-01-14,09:00,21.3
640,2023-01-14,13:00,3.6
641,2023-01-14,10:00,13.8
642,2023-01-14,11:00,18.1
643,2023-01-14,12:00,15.5
644,2023-01-14,14:00,4.5
645,2023-01-14,15:00,5.0
646,2023-01-14,16:00,2.7
647,2023-01-14,17:00,3.9
648,2023-01-14,18:00,6.0
649,2023-01-14,19:00,4.6
650,2023-01-14,20:00,3.2
651,2023-01-14,21:00,4.1
652,2023-01-14,22:00,6.2
653,2023-01-14,23:00,4.6
654,2023-01-15,00:00,1.7
655,2023-01-15,01:00,0.0
656,2023-01-15,02:00,1.0
657,2023-01-15,03:00,3.2
658,2023-01-15,04:00,1.9
659,2023-01-15,05:00,0.7
660,2023-01-15,06:00,0.4
661,2023-01-15,07:00,0.0
662,2023-01-15,08:00,3.4
663,2023-01-15,09:00,5.7
664,2023-01-15,10:00,3.2
665,2023-01-15,11:00,3.9
666,2023-01-15,12:00,5.0
667,2023-01-15,13:00,6.2
668,2023-01-15,14:00,7.4
669,2023-01-15,15:00,6.5
670,2023-01-15,16:00,4.8
671,2023-01-15,17:00,3.6
672,2023-01-15,18:00,6.0
673,2023-01-15,19:00,5.7
674,2023-01-15,20:00,3.4
675,2023-01-15,21:00,3.6
676,2023-01-15,22:00,4.1
677,2023-01-15,23:00,1.9
678,2023-01-16,00:00,-1.6
679,2023-01-16,01:00,-3.9
680,2023-01-16,02:00,-2.1
681,2023-01-16,03:00,-1.7
682,2023-01-16,04:00,-2.9
683,2023-01-16,05:00,-2.6
684,2023-01-16,06:00,-0.4
685,2023-01-16,07:00,3.9
686,2023-01-16,08:00,4.6
687,2023-01-16,09:00,1.7
688,2023-01-16,10:00,3.2
689,2023-01-16,11:00,4.3
690,2023-01-16,12:00,2.9
691,2023-01-16,13:00,2.5
692,2023-01-16,14:00,2.0
693,2023-01-16,15:00,0.2
694,2023-01-16,16:00,0.2
695,2023-01-16,17:00,1.2
696,2023-01-16,18:00,0.5
697,2023-01-16,19:00,-0.4
698,2023-01-16,20:00,-0.9
699,2023-01-16,21:00,1.2
700,2023-01-16,22:00,1.7
701,2023-01-16,23:00,0.0
702,2023-01-17,00:00,-2.1
703,2023-01-17,01:00,-2.1
704,2023-01-17,02:00,-0.4
705,2023-01-17,03:00,-3.1
706,2023-01-17,04:00,-4.3
707,2023-01-17,05:00,-0.2
708,2023-01-17,06:00,2.5
709,2023-01-17,07:00,2.9
710,2023-01-17,08:00,4.4
711,2023-01-17,09:00,6.1
712,2023-01-17,10:00,3.9
713,2023-01-17,11:00,17.5
714,2023-01-17,12:00,7.7
715,2023-01-17,13:00,5.0
716,2023-01-17,14:00,0.7
717,2023-01-17,15:00,0.0
718,2023-01-17,16:00,0.5
719,2023-01-17,17:00,1.5
720,2023-01-17,18:00,3.0
721,2023-01-17,19:00,4.8
722,2023-01-17,20:00,4.1
723,2023-01-17,21:00,3.7
724,2023-01-17,22:00,8.4
725,2023-01-17,23:00,7.4
726,2023-01-18,00:00,7.7
727,2023-01-18,01:00,9.2
728,2023-01-18,02:00,7.2
729,2023-01-18,03:00,6.0
730,2023-01-18,04:00,2.7
731,2023-01-18,05:00,6.7
732,2023-01-18,06:00,12.4
733,2023-01-18,07:00,12.4
734,2023-01-18,08:00,13.1
735,2023-01-18,09:00,14.7
736,2023-01-18,10:00,10.2
737,2023-01-18,11:00,7.9
738,2023-01-18,12:00,8.9
739,2023-01-18,13:00,7.7
740,2023-01-18,14:00,3.8
741,2023-01-18,15:00,1.2
742,2023-01-18,16:00,-0.2
743,2023-01-18,17:00,2.2
744,2023-01-18,18:00,6.2
745,2023-01-18,19:00,4.1
746,2023-01-18,20:00,2.7
747,2023-01-18,21:00,9.9
748,2023-01-18,22:00,15.7
749,2023-01-18,23:00,16.0
750,2023-01-19,00:00,10.4
751,2023-01-19,01:00,11.1
752,2023-01-19,02:00,11.1
753,2023-01-19,03:00,9.6
754,2023-01-19,04:00,6.9
755,2023-01-19,05:00,15.2
756,2023-01-19,06:00,15.0
757,2023-01-19,07:00,17.0
758,2023-01-19,08:00,14.2
759,2023-01-19,09:00,18.2
760,2023-01-19,10:00,16.5
761,2023-01-19,11:00,14.8
762,2023-01-19,12:00,21.3
763,2023-01-19,13:00,9.4
764,2023-01-19,14:00,7.2
765,2023-01-19,15:00,3.8
766,2023-01-19,16:00,3.8
767,2023-01-19,17:00,1.2
768,2023-01-19,18:00,0.2
769,2023-01-19,19:00,1.2
770,2023-01-19,20:00,-0.4
771,2023-01-19,21:00,0.7
772,2023-01-19,22:00,-1.7
773,2023-01-19,23:00,-1.4
774,2023-01-20,00:00,5.5
775,2023-01-20,01:00,10.9
776,2023-01-20,02:00,7.0
777,2023-01-20,03:00,-0.9
778,2023-01-20,04:00,2.2
779,2023-01-20,05:00,2.7
780,2023-01-20,06:00,-0.4
781,2023-01-20,07:00,3.2
782,2023-01-20,08:00,5.6
783,2023-01-20,09:00,5.5
784,2023-01-20,10:00,4.6
785,2023-01-20,11:00,5.3
786,2023-01-20,12:00,8.9
787,2023-01-20,13:00,9.2
788,2023-01-20,14:00,3.0
789,2023-01-20,15:00,-1.1
790,2023-01-20,16:00,-1.9
791,2023-01-20,17:00,-2.1
792,2023-01-20,18:00,-2.1
793,2023-01-20,19:00,-2.8
794,2023-01-20,20:00,-1.6
795,2023-01-20,21:00,0.0
796,2023-01-20,22:00,0.0
797,2023-01-20,23:00,0.0
798,2023-01-21,00:00,-1.4
799,2023-01-21,01:00,1.2
800,2023-01-21,02:00,7.2
801,2023-01-21,03:00,11.6
802,2023-01-21,04:00,33.8
803,2023-01-21,05:00,49.8
804,2023-01-21,06:00,51.2
805,2023-01-21,07:00,16.5
806,2023-01-21,08:00,4.6
807,2023-01-21,09:00,4.6
808,2023-01-21,10:00,6.3
809,2023-01-21,11:00,5.0
810,2023-01-21,12:00,2.5
811,2023-01-21,13:00,5.3
812,2023-01-21,14:00,8.2
813,2023-01-21,15:00,4.3
814,2023-01-21,16:00,-0.4
815,2023-01-21,17:00,-2.1
816,2023-01-21,18:00,-2.6
817,2023-01-21,19:00,-0.2
818,2023-01-21,20:00,3.4
819,2023-01-21,21:00,19.8
820,2023-01-21,22:00,29.2
821,2023-01-21,23:00,20.6
822,2023-01-22,00:00,19.6
823,2023-01-22,01:00,22.1
824,2023-01-22,02:00,16.5
825,2023-01-22,03:00,16.0
826,2023-01-22,04:00,13.3
827,2023-01-22,05:00,22.1
828,2023-01-22,06:00,13.1
829,2023-01-22,07:00,22.8
830,2023-01-22,08:00,17.2
831,2023-01-22,09:00,10.2
832,2023-01-22,10:00,10.1
833,2023-01-22,11:00,9.4
834,2023-01-22,12:00,20.6
835,2023-01-22,13:00,12.2
836,2023-01-22,14:00,10.2
837,2023-01-22,15:00,5.0
838,2023-01-22,16:00,1.2
839,2023-01-22,17:00,0.7
840,2023-01-22,18:00,-0.9
841,2023-01-22,19:00,-1.9
842,2023-01-22,20:00,-0.4
843,2023-01-22,21:00,0.4
844,2023-01-22,22:00,1.2
845,2023-01-22,23:00,1.2
846,2023-01-23,00:00,-1.7
847,2023-01-23,01:00,
848,2023-01-23,02:00,-3.1
849,2023-01-23,03:00,0.4
850,2023-01-23,04:00,-0.5
851,2023-01-23,05:00,-0.2
852,2023-01-23,06:00,1.7
853,2023-01-23,07:00,0.9
854,2023-01-23,08:00,2.4
855,2023-01-23,09:00,3.6
856,2023-01-23,10:00,0.9
857,2023-01-23,11:00,2.2
858,2023-01-23,12:00,4.3
859,2023-01-23,13:00,16.9
860,2023-01-23,14:00,3.8
861,2023-01-23,15:00,2.2
862,2023-01-23,16:00,0.5
863,2023-01-23,17:00,1.7
864,2023-01-23,18:00,0.2
865,2023-01-23,19:00,-1.4
866,2023-01-23,20:00,-4.8
867,2023-01-23,21:00,-4.1
868,2023-01-23,22:00,0.0
869,2023-01-23,23:00,-0.2
870,2023-01-24,00:00,-0.4
871,2023-01-24,01:00,-1.4
872,2023-01-24,02:00,-1.2
873,2023-01-24,03:00,0.2
874,2023-01-24,04:00,1.4
875,2023-01-24,05:00,0.9
876,2023-01-24,06:00,0.0
877,2023-01-24,07:00,2.9
878,2023-01-24,08:00,3.6
879,2023-01-24,09:00,3.8
880,2023-01-24,10:00,8.7
881,2023-01-24,11:00,9.9
882,2023-01-24,12:00,7.2
883,2023-01-24,13:00,3.0
884,2023-01-24,14:00,-1.2
885,2023-01-24,15:00,-4.6
886,2023-01-24,16:00,-3.1
887,2023-01-24,17:00,-2.4
888,2023-01-24,18:00,-4.8
889,2023-01-24,19:00,-4.6
890,2023-01-24,20:00,
891,2023-01-24,21:00,-1.2
892,2023-01-24,22:00,8.4
893,2023-01-24,23:00,11.2
894,2023-01-25,00:00,11.9
895,2023-01-25,01:00,9.9
896,2023-01-25,02:00,7.0
897,2023-01-25,03:00,6.9
898,2023-01-25,04:00,4.8
899,2023-01-25,05:00,6.7
900,2023-01-25,06:00,8.6
901,2023-01-25,07:00,8.1
902,2023-01-25,08:00,9.6
903,2023-01-25,09:00,8.2
904,2023-01-25,10:00,5.5
905,2023-01-25,11:00,7.0
906,2023-01-25,12:00,10.6
907,2023-01-25,13:00,6.9
908,2023-01-25,14:00,-0.2
909,2023-01-25,15:00,-0.4
910,2023-01-25,16:00,-2.6
911,2023-01-25,17:00,
912,2023-01-25,18:00,-2.6
913,2023-01-25,19:00,-3.1
914,2023-01-25,20:00,-3.6
915,2023-01-25,21:00,-0.7
916,2023-01-25,22:00,-0.9
917,2023-01-25,23:00,-0.2
918,2023-01-26,00:00,0.9
919,2023-01-26,01:00,0.0
920,2023-01-26,02:00,-4.1
921,2023-01-26,03:00,-3.6
922,2023-01-26,04:00,
923,2023-01-26,05:00,-1.4
924,2023-01-26,06:00,0.2
925,2023-01-26,07:00,-1.2
926,2023-01-26,08:00,-2.6
927,2023-01-26,09:00,-0.2
928,2023-01-26,10:00,2.0
929,2023-01-26,11:00,2.5
930,2023-01-26,12:00,3.8
931,2023-01-26,13:00,4.8
932,2023-01-26,14:00,1.0
933,2023-01-26,15:00,-1.4
934,2023-01-26,16:00,-1.4
935,2023-01-26,17:00,-2.1
936,2023-01-26,18:00,-4.6
937,2023-01-26,19:00,-2.6
938,2023-01-26,20:00,-1.4
939,2023-01-26,21:00,-2.4
940,2023-01-26,22:00,1.0
941,2023-01-26,23:00,2.7
942,2023-01-27,00:00,3.8
943,2023-01-27,01:00,4.3
944,2023-01-27,02:00,4.4
945,2023-01-27,03:00,5.5
946,2023-01-27,04:00,7.9
947,2023-01-27,05:00,6.2
948,2023-01-27,06:00,14.7
949,2023-01-27,07:00,5.5
950,2023-01-27,08:00,16.7
951,2023-01-27,09:00,10.4
952,2023-01-27,10:00,7.9
953,2023-01-27,11:00,9.2
954,2023-01-27,12:00,11.2
955,2023-01-27,13:00,4.3
956,2023-01-27,14:00,0.0
957,2023-01-27,15:00,1.0
958,2023-01-27,16:00,-1.1
959,2023-01-27,17:00,-1.1
960,2023-01-27,18:00,2.9
961,2023-01-27,19:00,5.3
962,2023-01-27,20:00,8.2
963,2023-01-28,00:00,15.5
964,2023-01-27,21:00,7.9
965,2023-01-27,22:00,8.2
966,2023-01-27,23:00,15.2
967,2023-01-28,01:00,6.3
968,2023-01-28,02:00,10.4
969,2023-01-28,03:00,16.0
970,2023-01-28,04:00,16.7
971,2023-01-28,05:00,15.0
972,2023-01-28,06:00,14.5
973,2023-01-28,07:00,26.5
974,2023-01-28,08:00,10.6
975,2023-01-28,09:00,21.3
976,2023-01-28,10:00,17.0
977,2023-01-28,11:00,20.6
978,2023-01-28,12:00,14.8
979,2023-01-28,13:00,10.9
980,2023-01-28,14:00,8.9
981,2023-01-28,15:00,8.0
982,2023-01-28,16:00,8.2
983,2023-01-28,17:00,9.7
984,2023-01-28,18:00,9.4
985,2023-01-28,19:00,7.9
986,2023-01-28,20:00,7.0
987,2023-01-28,21:00,6.5
988,2023-01-28,22:00,5.1
989,2023-01-28,23:00,4.8
990,2023-01-29,00:00,6.7
991,2023-01-29,01:00,7.9
992,2023-01-29,02:00,6.0
993,2023-01-29,03:00,0.7
994,2023-01-29,04:00,0.7
995,2023-01-29,05:00,2.2
996,2023-01-29,06:00,2.2
997,2023-01-29,07:00,4.3
998,2023-01-29,08:00,5.0
999,2023-01-29,09:00,2.7
1000,2023-01-29,10:00,2.7
1001,2023-01-29,11:00,3.0
1002,2023-01-29,12:00,5.3
1003,2023-01-29,13:00,4.8
1004,2023-01-29,14:00,3.0
1005,2023-01-29,15:00,2.7
1006,2023-01-29,16:00,1.7
1007,2023-01-29,17:00,2.5
1008,2023-01-29,18:00,2.0
1009,2023-01-29,19:00,2.5
1010,2023-01-29,20:00,1.7
1011,2023-01-29,21:00,5.3
1012,2023-01-29,22:00,6.5
1013,2023-01-29,23:00,1.0
1014,2023-01-30,00:00,-0.7
1015,2023-01-30,01:00,-0.4
