Site,Parameter,Date (LST),Value,Unit,QCCode,OPCode
RIVR,T640-PM2.5 AQI,2021/12/01 00:00,8.95344,ug/m3_LC,0,1
RIVR,T640-PM2.5 AQI,2021/12/01 01:00,8.74177,ug/m3_LC,0,1
RIVR,T640-PM2.5 AQI,2021/12/01 02:00,10.21333,ug/m3_LC,0,1
RIVR,T640-PM2.5 AQI,2021/12/01 03:00,8.84418,ug/m3_LC,0,1
RIVR,T640-PM2.5 AQI,2021/12/01 04:00,8.33393,ug/m3_LC,0,1
RIVR,T640-PM2.5 AQI,2021/12/01 05:00,8.54124,ug/m3_LC,0,1
RIVR,T640-PM2.5 AQI,2021/12/01 06:00,10.98514,ug/m3_LC,0,1
RIVR,T640-PM2.5 AQI,2021/12/01 07:00,13.6785,ug/m3_LC,0,1
RIVR,T640-PM2.5 AQI,2021/12/01 08:00,16.97237,ug/m3_LC,0,1
RIVR,T640-PM2.5 AQI,2021/12/01 09:00,15.77013,ug/m3_LC,0,1
RIVR,T640-PM2.5 AQI,2021/12/01 10:00,4.56994,ug/m3_LC,0,1
RIVR,T640-PM2.5 AQI,2021/12/01 11:00,3.26278,ug/m3_LC,0,1
RIVR,T640-PM2.5 AQI,2021/12/01 12:00,4.62115,ug/m3_LC,0,1
RIVR,T640-PM2.5 AQI,2021/12/01 13:00,4.86311,ug/m3_LC,0,1
RIVR,T640-PM2.5 AQI,2021/12/01 14:00,5.01404,ug/m3_LC,0,1
RIVR,T640-PM2.5 AQI,2021/12/01 15:00,10.05435,ug/m3_LC,0,1
RIVR,T640-PM2.5 AQI,2021/12/01 16:00,15.53564,ug/m3_LC,0,1
RIVR,T640-PM2.5 AQI,2021/12/01 17:00,20.57549,ug/m3_LC,0,1
RIVR,T640-PM2.5 AQI,2021/12/01 18:00,31.97921,ug/m3_LC,0,1
RIVR,T640-PM2.5 AQI,2021/12/01 19:00,19.96166,ug/m3_LC,0,1
RIVR,T640-PM2.5 AQI,2021/12/01 20:00,24.48096,ug/m3_LC,0,1
RIVR,T640-PM2.5 AQI,2021/12/01 21:00,30.08398,ug/m3_LC,0,1
RIVR,T640-PM2.5 AQI,2021/12/01 22:00,31.47554,ug/m3_LC,0,1
RIVR,T640-PM2.5 AQI,2021/12/01 23:00,30.45296,ug/m3_LC,0,1
RIVR,T640-PM2.5 AQI,2021/12/02 00:00,26.68458,ug/m3_LC,0,1
RIVR,T640-PM2.5 AQI,2021/12/02 01:00,27.86041,ug/m3_LC,0,1
RIVR,T640-PM2.5 AQI,2021/12/02 02:00,26.09529,ug/m3_LC,0,1
RIVR,T640-PM2.5 AQI,2021/12/02 03:00,26.1183,ug/m3_LC,0,1
RIVR,T640-PM2.5 AQI,2021/12/02 04:00,21.91736,ug/m3_LC,0,1
RIVR,T640-PM2.5 AQI,2021/12/02 05:00,19.21759,ug/m3_LC,0,1
RIVR,T640-PM2.5 AQI,2021/12/02 06:00,16.91432,ug/m3_LC,0,1
RIVR,T640-PM2.5 AQI,2021/12/02 07:00,18.38015,ug/m3_LC,0,1
RIVR,T640-PM2.5 AQI,2021/12/02 08:00,21.54083,ug/m3_LC,0,1
RIVR,T640-PM2.5 AQI,2021/12/02 09:00,25.27895,ug/m3_LC,0,1
RIVR,T640-PM2.5 AQI,2021/12/02 10:00,30.71396,ug/m3_LC,0,1
RIVR,T640-PM2.5 AQI,2021/12/02 11:00,32.7212,ug/m3_LC,0,1
RIVR,T640-PM2.5 AQI,2021/12/02 12:00,29.86503,ug/m3_LC,0,1
RIVR,T640-PM2.5 AQI,2021/12/02 13:00,40.84473,ug/m3_LC,0,1
RIVR,T640-PM2.5 AQI,2021/12/02 14:00,45.41882,ug/m3_LC,0,1
RIVR,T640-PM2.5 AQI,2021/12/02 15:00,54.19353,ug/m3_LC,0,1
RIVR,T640-PM2.5 AQI,2021/12/02 16:00,47.17213,ug/m3_LC,0,1
RIVR,T640-PM2.5 AQI,2021/12/02 17:00,47.88685,ug/m3_LC,0,1
RIVR,T640-PM2.5 AQI,2021/12/02 18:00,48.60112,ug/m3_LC,0,1
RIVR,T640-PM2.5 AQI,2021/12/02 19:00,41.32623,ug/m3_LC,0,1
RIVR,T640-PM2.5 AQI,2021/12/02 20:00,42.76038,ug/m3_LC,0,1
RIVR,T640-PM2.5 AQI,2021/12/02 21:00,52.13081,ug/m3_LC,0,1
RIVR,T640-PM2.5 AQI,2021/12/02 22:00,49.71408,ug/m3_LC,0,1
RIVR,T640-PM2.5 AQI,2021/12/02 23:00,53.53302,ug/m3_LC,0,1
RIVR,T640-PM2.5 AQI,2021/12/03 00:00,55.61191,ug/m3_LC,0,1
RIVR,T640-PM2.5 AQI,2021/12/03 01:00,53.80342,ug/m3_LC,0,1
RIVR,T640-PM2.5 AQI,2021/12/03 02:00,66.51613,ug/m3_LC,0,1
RIVR,T640-PM2.5 AQI,2021/12/03 03:00,52.73654,ug/m3_LC,0,1
RIVR,T640-PM2.5 AQI,2021/12/03 04:00,50.31468,ug/m3_LC,0,1
RIVR,T640-PM2.5 AQI,2021/12/03 05:00,45.68211,ug/m3_LC,0,1
RIVR,T640-PM2.5 AQI,2021/12/03 06:00,42.8668,ug/m3_LC,0,1
RIVR,T640-PM2.5 AQI,2021/12/03 07:00,43.50392,ug/m3_LC,0,1
RIVR,T640-PM2.5 AQI,2021/12/03 08:00,43.41131,ug/m3_LC,0,1
RIVR,T640-PM2.5 AQI,2021/12/03 09:00,47.76524,ug/m3_LC,0,1
RIVR,T640-PM2.5 AQI,2021/12/03 10:00,62.17874,ug/m3_LC,0,1
RIVR,T640-PM2.5 AQI,2021/12/03 11:00,68.83522,ug/m3_LC,0,1
RIVR,T640-PM2.5 AQI,2021/12/03 12:00,66.70372,ug/m3_LC,0,1
RIVR,T640-PM2.5 AQI,2021/12/03 13:00,55.06979,ug/m3_LC,0,1
RIVR,T640-PM2.5 AQI,2021/12/03 14:00,52.53561,ug/m3_LC,0,1
RIVR,T640-PM2.5 AQI,2021/12/03 15:00,59.88348,ug/m3_LC,0,1
RIVR,T640-PM2.5 AQI,2021/12/03 16:00,66.39729,ug/m3_LC,0,1
RIVR,T640-PM2.5 AQI,2021/12/03 17:00,74.24225,ug/m3_LC,0,1
RIVR,T640-PM2.5 AQI,2021/12/03 18:00,72.62879,ug/m3_LC,0,1
RIVR,T640-PM2.5 AQI,2021/12/03 19:00,50.29076,ug/m3_LC,0,1
RIVR,T640-PM2.5 AQI,2021/12/03 20:00,46.39239,ug/m3_LC,0,1
RIVR,T640-PM2.5 AQI,2021/12/03 21:00,45.94826,ug/m3_LC,0,1
RIVR,T640-PM2.5 AQI,2021/12/03 22:00,43.84579,ug/m3_LC,0,1
RIVR,T640-PM2.5 AQI,2021/12/03 23:00,43.1904,ug/m3_LC,0,1
RIVR,T640-PM2.5 AQI,2021/12/04 00:00,45.76733,ug/m3_LC,0,1
RIVR,T640-PM2.5 AQI,2021/12/04 01:00,46.2082,ug/m3_LC,0,1
RIVR,T640-PM2.5 AQI,2021/12/04 02:00,46.71078,ug/m3_LC,0,1
RIVR,T640-PM2.5 AQI,2021/12/04 03:00,50.78957,ug/m3_LC,0,1
RIVR,T640-PM2.5 AQI,2021/12/04 04:00,44.86835,ug/m3_LC,0,1
RIVR,T640-PM2.5 AQI,2021/12/04 05:00,42.91948,ug/m3_LC,0,1
RIVR,T640-PM2.5 AQI,2021/12/04 06:00,51.19034,ug/m3_LC,0,1
RIVR,T640-PM2.5 AQI,2021/12/04 07:00,42.08971,ug/m3_LC,0,1
RIVR,T640-PM2.5 AQI,2021/12/04 08:00,36.94046,ug/m3_LC,0,1
RIVR,T640-PM2.5 AQI,2021/12/04 09:00,42.34352,ug/m3_LC,0,1
RIVR,T640-PM2.5 AQI,2021/12/04 10:00,48.08718,ug/m3_LC,0,1
RIVR,T640-PM2.5 AQI,2021/12/04 11:00,57.03946,ug/m3_LC,0,1
RIVR,T640-PM2.5 AQI,2021/12/04 12:00,65.3766,ug/m3_LC,0,1
RIVR,T640-PM2.5 AQI,2021/12/04 13:00,72.26908,ug/m3_LC,0,1
RIVR,T640-PM2.5 AQI,2021/12/04 14:00,76.78319,ug/m3_LC,0,1
RIVR,T640-PM2.5 AQI,2021/12/04 15:00,74.26552,ug/m3_LC,0,1
RIVR,T640-PM2.5 AQI,2021/12/04 16:00,72.43444,ug/m3_LC,0,1
RIVR,T640-PM2.5 AQI,2021/12/04 17:00,78.35376,ug/m3_LC,0,1
